,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Temp,Wind Speed
0,Aasiaat,100,GL,1647207422,93,68.7098,-52.8699,-0.42,7.9
1,Dikson,100,RU,1647207422,97,73.5069,80.5464,-5.26,16.64
2,Amoy,0,CN,1647207423,88,24.4798,118.0819,66.25,2.24
3,New Norfolk,100,AU,1647207423,67,-42.7826,147.0587,62.1,1.01
4,Alihe,100,CN,1647207423,97,50.5667,123.7167,16.03,1.48
5,Sioux Lookout,100,CA,1647207424,57,50.1001,-91.917,17.67,8.05
6,Lorengau,26,PG,1647207425,75,-2.0226,147.2712,83.62,8.34
7,Busselton,12,AU,1647207425,90,-33.65,115.3333,63.36,7.74
8,Port Elizabeth,100,ZA,1647207425,94,-33.918,25.5701,63.1,19.57
9,Havre-St-Pierre,20,CA,1647207426,53,50.2334,-63.5986,21.2,27.63
10,Ialibu,87,PG,1647207426,89,-6.2821,143.9935,60.64,1.39
11,Avarua,70,CK,1647207427,74,-21.2078,-159.775,84.25,4.61
12,Faanui,93,PF,1647207427,72,-16.4833,-151.75,81.28,8.97
13,Richards Bay,0,ZA,1647207427,83,-28.783,32.0377,76.59,13.06
14,Hermanus,96,ZA,1647207427,58,-34.4187,19.2345,57.79,14.58
15,Albany,100,US,1647207428,35,42.6001,-73.9662,33.94,1.01
16,Rikitea,99,PF,1647207428,72,-23.1203,-134.9692,80.13,15.05
17,Bangkalan,80,ID,1647207429,87,-7.0455,112.7351,81.03,3.87
18,George Town,20,MY,1647207357,98,5.4112,100.3354,80.53,6.91
19,Puerto Ayora,48,EC,1647207429,89,-0.7393,-90.3518,87.76,3.0
20,Ostrovnoy,100,RU,1647207429,87,68.0531,39.5131,26.2,2.62
21,Tikrit,38,IQ,1647207430,38,34.6071,43.6782,52.88,6.46
22,Tiksi,99,RU,1647207430,100,71.6872,128.8694,-22.38,2.17
23,Kavieng,50,PG,1647207431,75,-2.5744,150.7967,83.19,13.24
24,Ushuaia,100,AR,1647207239,81,-54.8,-68.3,42.46,24.16
25,Hilo,0,US,1647207431,62,19.7297,-155.09,82.13,11.5
26,Oussouye,19,SN,1647207431,65,12.485,-16.5469,78.98,5.66
27,Sompeta,100,IN,1647207432,44,18.9333,84.6,76.32,3.06
28,Anadyr,0,RU,1647207433,76,64.75,177.4833,-5.01,11.18
29,Puerto Suárez,75,BO,1647207433,62,-18.95,-57.8,88.16,5.75
30,Khatanga,100,RU,1647207433,98,71.9667,102.5,-4.56,10.69
31,Tezu,0,IN,1647207434,26,27.9167,96.1667,69.76,4.97
32,Kruisfontein,100,ZA,1647207434,89,-34.0033,24.7314,60.89,18.03
33,Port Alfred,100,ZA,1647207435,90,-33.5906,26.891,67.75,11.72
34,Mar del Plata,0,AR,1647207435,84,-38.0023,-57.5575,68.02,10.36
35,Punta Arenas,40,CL,1647207417,53,-53.15,-70.9167,48.31,32.21
36,Rock Sound,52,BS,1647207436,70,24.9,-76.2,72.48,21.83
37,Anloga,16,GH,1647207436,81,5.7947,0.8973,82.44,11.63
38,Zaragoza,0,ES,1647207330,60,41.6561,-0.8773,54.01,6.91
39,Krasnosel'kup,94,RU,1647207436,100,65.7,82.4667,-11.07,7.85
40,Jamestown,100,US,1647207437,63,42.097,-79.2353,26.19,13.8
41,Ucluelet,100,CA,1647207437,85,48.9329,-125.5528,50.09,1.01
