,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Temp,Wind Speed
0,Faanui,100,PF,1644773009,73,-16.4833,-151.75,81.07,14.32
1,Bethel,100,US,1644773009,79,41.3712,-73.414,31.77,4.61
2,Saldanha,19,ZA,1644773010,85,-33.0117,17.9442,75.25,27.67
3,Sweetwater,100,US,1644773010,88,25.7634,-80.3731,66.22,6.91
4,Busselton,4,AU,1644773010,68,-33.65,115.3333,65.05,12.84
5,Ginir,57,ET,1644773011,28,7.1333,40.7,65.25,1.95
6,Bubaque,4,GW,1644773011,51,11.2833,-15.8333,80.62,13.0
7,Chokurdakh,100,RU,1644773011,97,70.6333,147.9167,-2.4,10.96
8,Hobart,75,AU,1644772817,81,-42.8794,147.3294,62.46,6.91
9,Puerto Ayora,98,EC,1644773012,84,-0.7393,-90.3518,82.36,5.01
10,Lorengau,99,PG,1644773012,79,-2.0226,147.2712,80.35,2.3
11,George Town,40,MY,1644773012,92,5.4112,100.3354,80.89,8.05
12,Punta Arenas,20,CL,1644772915,50,-53.15,-70.9167,51.91,50.64
13,Padang,99,ID,1644773013,83,-0.9492,100.3543,77.77,3.69
14,Mildura,93,AU,1644772997,38,-34.2,142.15,78.76,4.61
15,Hilo,20,US,1644772961,82,19.7297,-155.09,64.8,7.0
16,Saint Paul Harbor,0,US,1644772785,86,57.79,-152.4072,27.91,6.91
17,Russell,40,US,1644773013,33,32.3502,-85.1999,49.15,11.5
18,Rikitea,18,PF,1644772990,70,-23.1203,-134.9692,78.67,11.63
19,Penzance,100,GB,1644773014,90,50.1186,-5.5371,49.21,25.43
20,Kahului,40,US,1644772961,90,20.8947,-156.47,71.83,5.01
21,Ushuaia,100,AR,1644773014,76,-54.8,-68.3,46.06,48.34
22,Praia,0,CV,1644773014,53,14.9215,-23.5087,79.34,20.71
23,Vaini,20,TO,1644773015,89,-21.2,-175.2,78.96,5.75
24,Lüderitz,7,NA,1644773015,64,-26.6481,15.1594,75.43,16.2
25,Port Alfred,78,ZA,1644773015,82,-33.5906,26.891,73.99,10.94
26,Parola,0,IN,1644773016,30,20.8833,75.1167,74.98,4.05
27,Yining,97,CN,1644773016,79,29.0361,114.5636,44.53,1.95
28,Valleyview,73,CA,1644773016,55,55.0667,-117.2859,33.84,3.44
29,Cidreira,88,BR,1644773016,84,-30.1811,-50.2056,74.21,8.79
30,Constitución,5,CL,1644773017,72,-35.3333,-72.4167,68.45,11.05
31,Formosa do Rio Preto,84,BR,1644773017,73,-11.0483,-45.1931,82.27,1.83
32,Batemans Bay,100,AU,1644773017,85,-35.7167,150.1833,66.09,5.01
33,Hermanus,9,ZA,1644773018,79,-34.4187,19.2345,75.9,14.27
34,Hamilton,20,US,1644773018,59,39.1834,-84.5333,27.59,5.75
35,Yatou,60,CN,1644773018,79,37.15,122.3833,35.15,5.41
36,Bagalkot,0,IN,1644773019,29,16.1833,75.7,77.27,9.55
37,Atuona,33,PF,1644773019,78,-9.8,-139.0333,77.4,13.29
38,Barrow,0,US,1644772802,100,71.2906,-156.7887,-29.18,9.22
39,East London,75,ZA,1644773019,94,-33.0153,27.9116,72.54,12.66
40,Upernavik,100,GL,1644773020,95,72.7868,-56.1549,-5.66,11.63
41,Tegul'det,27,RU,1644773020,92,57.3064,88.1667,0.46,9.4
42,Hambantota,100,LK,1644773020,88,6.1241,81.1185,74.88,17.69
43,Ribeira Grande,75,PT,1644773020,59,38.5167,-28.7,63.0,6.91
44,Vianópolis,72,BR,1644773021,84,-16.7419,-48.5164,72.39,8.68
45,Zhob,73,PK,1644773021,42,31.3411,69.4481,52.16,1.45
46,Albany,100,US,1644772895,61,42.6001,-73.9662,27.48,3.0
47,Sulangan,100,PH,1644773021,82,11.1373,123.7228,79.34,14.2
48,Guntakal,3,IN,1644773022,49,15.1667,77.3833,74.68,10.85
49,Cape Town,20,ZA,1644772960,69,-33.9258,18.4232,73.11,26.46
50,Husavik,14,IS,1644773022,79,66.0449,-17.3389,-0.49,14.85
51,Amposta,22,ES,1644773022,75,40.7131,0.581,58.23,8.9
52,Bredasdorp,20,ZA,1644773023,68,-34.5322,20.0403,72.28,11.5
53,Arraial do Cabo,40,BR,1644773023,74,-22.9661,-42.0278,80.56,16.11
54,Kaitangata,29,NZ,1644773024,89,-46.2817,169.8464,50.94,3.58
55,Sterling,100,US,1644772577,87,39.0062,-77.4286,34.52,10.0
56,Bambous Virieux,75,MU,1644773024,89,-20.3428,57.7575,82.22,11.5
57,Grand Gaube,100,MU,1644772758,77,-20.0064,57.6608,82.38,5.99
58,Peñal,56,TT,1644773024,66,10.1667,-61.4667,88.9,5.01
59,Provideniya,16,RU,1644773025,94,64.3833,-173.3,-13.11,3.51
60,Yulara,0,AU,1644772823,33,-25.2406,130.9889,71.44,6.91
61,Mataura,30,NZ,1644773025,99,-46.1927,168.8643,42.48,2.75
62,Karratha,16,AU,1644773025,68,-20.7377,116.8463,83.73,14.09
63,Rostovka,94,RU,1644773026,100,55.3842,71.8891,-4.38,6.93
64,Longyearbyen,75,SJ,1644773026,85,78.2186,15.6401,13.84,5.75
65,Kendari,100,ID,1644773026,94,-3.945,122.4989,74.7,3.62
66,Shelburne,97,CA,1644773027,76,44.0787,-80.2041,12.13,2.19
67,Abu Dhabi,20,AE,1644772939,47,24.4667,54.3667,66.22,6.91
68,Departamento de Maldonado,6,UY,1644772922,46,-34.6667,-54.9167,69.19,17.6
69,Mariehamn,100,AX,1644773027,81,60.0973,19.9348,37.26,17.27
70,San Cristobal,80,VE,1644773028,39,7.7669,-72.225,77.18,6.71
71,Rio Grande,63,BR,1644772964,45,-32.035,-52.0986,77.13,7.43
72,Kieta,90,PG,1644773028,83,-6.2167,155.6333,78.3,2.48
73,Bac Lieu,7,VN,1644773028,83,9.285,105.7244,78.8,12.12
74,Cabo San Lucas,75,MX,1644773029,45,22.8909,-109.9124,80.62,4.61
75,Airai,96,TL,1644773029,91,-8.9266,125.4092,59.07,2.28
76,Comodoro Rivadavia,20,AR,1644773029,24,-45.8667,-67.5,91.26,14.97
77,Kapaa,100,US,1644773030,85,22.0752,-159.319,70.12,12.66
78,Nam Som,41,TH,1644773030,63,17.7704,102.1895,81.41,3.56
79,Ruska Poliana,9,UA,1644773030,55,49.417,31.9201,31.59,6.8
80,Jalu,72,LY,1644773031,39,29.0331,21.5482,59.81,7.4
81,Fairbanks,100,US,1644773031,82,64.8378,-147.7164,11.23,0.0
82,Zaysan,68,KZ,1644773031,78,47.4667,84.8667,13.66,3.69
83,Khatanga,85,RU,1644773032,93,71.9667,102.5,-25.13,2.17
84,Aksarka,95,RU,1644773032,100,66.5606,67.7975,-16.78,3.53
85,Āsosa,54,ET,1644773032,25,10.0667,34.5333,75.09,4.97
86,Kavieng,97,PG,1644773033,79,-2.5744,150.7967,80.49,6.24
87,Bayaguana,38,DO,1644773033,54,18.7564,-69.6362,87.39,8.32
88,Butaritari,96,KI,1644773033,72,3.0707,172.7902,82.44,13.02
